Date,Infl. 12 m.
12/2025,3.5
09/2025,4
06/2025,4.2
03/2025,4.3
12/2024,4.5
09/2024,3.5
06/2024,3.3
03/2024,3.1
12/2023,3.5
09/2023,3.6
06/2023,4.1
03/2023,4.6
12/2022,5
09/2022,5.5
06/2022,5.6
03/2022,4.6
12/2021,4.7
09/2021,3.9
06/2021,3.5
03/2021,3.9
12/2020,3.4
09/2020,2.8
06/2020,3.6
03/2020,3.5
12/2019,3.6
09/2019,3.2
06/2019,3.4
03/2019,4
12/2018,4
09/2018,4.5
06/2018,3.9
03/2018,4.1
12/2017,4
09/2017,3.9
06/2017,4.7
03/2017,3.9
12/2016,4.4
09/2016,4.5
06/2016,5.2
03/2016,5.6
12/2015,6.2
09/2015,5.8
06/2015,5.4
03/2015,5.9
12/2014,6.1
09/2014,5.8
06/2014,5.9
03/2014,6
12/2013,5.6
09/2013,5.8
06/2013,5.4
03/2013,5.4
12/2012,4.8
09/2012,4.6
06/2012,5
03/2012,4.9
12/2011,4.7
09/2011,4.7
06/2011,4.6
03/2011,4.8
12/2010,5
09/2010,4.7
06/2010,4.8
03/2010,4.7
12/2009,4.6
09/2009,4
06/2009,3.6
03/2009,4.3
12/2008,4.7
09/2008,4.9
06/2008,4.8
03/2008,4.3
12/2007,4.3
09/2007,4.1
06/2007,3.6
03/2007,3.8
12/2006,3.9
09/2006,4.2
06/2006,3.9
03/2006,3.2
12/2005,3.8
09/2005,3.6
06/2005,4.6
03/2005,5
12/2004,5.3
09/2004,6
06/2004,4.8
03/2004,4.7
12/2003,4.5
09/2003,3.8
06/2003,4.8
03/2003,6.7
12/2002,9.5
09/2002,5.2
06/2002,4
03/2002,3.6